"query_id","title","need","context","query_text"
"1","Ferroportin-1 in humans","Find articles about Ferroportin-1, an iron transporter, in humans.","Ferroportin1 (also known as SLC40A1; Ferroportin 1; FPN1; HFE4; IREG1; Iron regulated gene 1; Iron-regulated transporter 1; MTP1; SLC11A3; and Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 3) may play a role in iron transport.","Ferroportin-1 in humans Find articles about Ferroportin-1, an iron transporter, in humans. Ferroportin1 (also known as SLC40A1; Ferroportin 1; FPN1; HFE4; IREG1; Iron regulated gene 1; Iron-regulated transporter 1; MTP1; SLC11A3; and Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 3) may play a role in iron transport."
"2","Generating transgenic mice","Find protocols for generating transgenic mice.","Determine protocols to generate transgenic mice having a single copy of the gene of interest at a specific location.","Generating transgenic mice Find protocols for generating transgenic mice. Determine protocols to generate transgenic mice having a single copy of the gene of interest at a specific location."
"3","Time course for gene expression in mouse kidney","What is the time course of gene expression in the murine developing kidney?","Relevant articles describe genes involved in kidney development.","Time course for gene expression in mouse kidney What is the time course of gene expression in the murine developing kidney? Relevant articles describe genes involved in kidney development."
"4","Gene expression profiles for kidney in mice","What mouse genes are specific to the kidney?","What genes are expressed only in the mouse kidney and not in other tissues?","Gene expression profiles for kidney in mice What mouse genes are specific to the kidney? What genes are expressed only in the mouse kidney and not in other tissues?"
"5","Protocols for isolating cell nuclei","Articles are relevant if they describe methods for subcellular fractionation of nuclei.","Laboratory preparations can be enriched for certain kinds of proteins if the cellular compartment in which they reside is purified away from the rest of the cell contents.","Protocols for isolating cell nuclei Articles are relevant if they describe methods for subcellular fractionation of nuclei. Laboratory preparations can be enriched for certain kinds of proteins if the cellular compartment in which they reside is purified away from the rest of the cell contents."
"6","FancD2","Find articles about function of FancD2.","There are many genes involved in Fanconi Anemia and the downstream pathways of FancD2 in flies. The FancD2 is monoubiquitylated and there are 2 components of the FancD2 pathway. The researcher studies the FancD2 pathway in flies.","FancD2 Find articles about function of FancD2. There are many genes involved in Fanconi Anemia and the downstream pathways of FancD2 in flies. The FancD2 is monoubiquitylated and there are 2 components of the FancD2 pathway. The researcher studies the FancD2 pathway in flies."
"7","DNA repair and oxidative stress","Find correlation between DNA repair pathways and oxidative stress.","Researcher is interested in how oxidative stress effects DNA repair.","DNA repair and oxidative stress Find correlation between DNA repair pathways and oxidative stress. Researcher is interested in how oxidative stress effects DNA repair."
"8","Correlation between DNA repair pathways and skin cancer","Genes and proteins (pathways) common to DNA repair, oxidative diseases, skin-carcinogenesis, and UV-carcinogenesis.","Are there genes and mechanisms that are utilized by more than one of these fields? A relevant article mentions a gene or pathway, DNA repair, and one or more oxidative or cancerous diseases.","Correlation between DNA repair pathways and skin cancer Genes and proteins (pathways) common to DNA repair, oxidative diseases, skin-carcinogenesis, and UV-carcinogenesis. Are there genes and mechanisms that are utilized by more than one of these fields? A relevant article mentions a gene or pathway, DNA repair, and one or more oxidative or cancerous diseases."
"9","mutY","Find articles about the function of mutY in humans.","mutY is particularly challenging, because it is also known as hMYH. This is further complicated by the fact that myoglobin genes are also typically located in search results.","mutY Find articles about the function of mutY in humans. mutY is particularly challenging, because it is also known as hMYH. This is further complicated by the fact that myoglobin genes are also typically located in search results."
"10","NEIL1","Find articles about the role of NEIL1 in repair of DNA.","Interested in role that NEIL1 plays in DNA repair.","NEIL1 Find articles about the role of NEIL1 in repair of DNA. Interested in role that NEIL1 plays in DNA repair."
"11","Carcinogenesis and hairless mice","Find articles regarding carcinogenesis induced in hairless mice.","Researching genes and proteins (pathways) common to DNA repair, oxidative diseases, skin-carcinogenesis, and UV-carcinogenesis.","Carcinogenesis and hairless mice Find articles regarding carcinogenesis induced in hairless mice. Researching genes and proteins (pathways) common to DNA repair, oxidative diseases, skin-carcinogenesis, and UV-carcinogenesis."
